Date Time, Water Level
2020-04-01 00:00,0.657
2020-04-01 00:01,0.664
2020-04-01 00:02,0.667
2020-04-01 00:03,0.662
2020-04-01 00:04,0.674
2020-04-01 00:05,0.678
2020-04-01 00:06,0.686
2020-04-01 00:07,0.687
2020-04-01 00:08,0.694
2020-04-01 00:09,0.701
2020-04-01 00:10,0.707
2020-04-01 00:11,0.714
2020-04-01 00:12,0.714
2020-04-01 00:13,0.721
2020-04-01 00:14,0.727
2020-04-01 00:15,0.724
2020-04-01 00:16,0.721
2020-04-01 00:17,0.731
2020-04-01 00:18,0.738
2020-04-01 00:19,0.740
2020-04-01 00:20,0.739
2020-04-01 00:21,0.739
2020-04-01 00:22,0.741
2020-04-01 00:23,0.740
2020-04-01 00:24,0.742
2020-04-01 00:25,0.746
2020-04-01 00:26,0.743
2020-04-01 00:27,0.737
2020-04-01 00:28,0.746
2020-04-01 00:29,0.739
2020-04-01 00:30,0.741
2020-04-01 00:31,0.745
2020-04-01 00:32,0.740
2020-04-01 00:33,0.742
2020-04-01 00:34,0.738
2020-04-01 00:35,0.752
2020-04-01 00:36,0.758
2020-04-01 00:37,0.752
2020-04-01 00:38,0.757
2020-04-01 00:39,0.750
2020-04-01 00:40,0.755
2020-04-01 00:41,0.759
2020-04-01 00:42,0.766
2020-04-01 00:43,0.765
2020-04-01 00:44,0.781
2020-04-01 00:45,0.784
2020-04-01 00:46,0.784
2020-04-01 00:47,0.787
2020-04-01 00:48,0.784
2020-04-01 00:49,0.780
2020-04-01 00:50,0.789
2020-04-01 00:51,0.802
2020-04-01 00:52,0.801
2020-04-01 00:53,0.802
2020-04-01 00:54,0.799
2020-04-01 00:55,0.798
2020-04-01 00:56,0.789
2020-04-01 00:57,0.800
2020-04-01 00:58,0.809
2020-04-01 00:59,0.804
2020-04-01 01:00,0.808
2020-04-01 01:01,0.805
2020-04-01 01:02,0.808
2020-04-01 01:03,0.815
2020-04-01 01:04,0.818
2020-04-01 01:05,0.815
2020-04-01 01:06,0.817
2020-04-01 01:07,0.814
2020-04-01 01:08,0.810
2020-04-01 01:09,0.823
2020-04-01 01:10,0.826
2020-04-01 01:11,0.826
2020-04-01 01:12,0.824
2020-04-01 01:13,0.815
2020-04-01 01:14,0.825
2020-04-01 01:15,0.824
2020-04-01 01:16,0.821
2020-04-01 01:17,0.817
2020-04-01 01:18,0.823
2020-04-01 01:19,0.822
2020-04-01 01:20,0.821
2020-04-01 01:21,0.819
2020-04-01 01:22,0.819
2020-04-01 01:23,0.820
2020-04-01 01:24,0.822
2020-04-01 01:25,0.817
2020-04-01 01:26,0.808
2020-04-01 01:27,0.813
2020-04-01 01:28,0.812
2020-04-01 01:29,0.810
2020-04-01 01:30,0.812
2020-04-01 01:31,0.815
2020-04-01 01:32,0.808
2020-04-01 01:33,0.816
2020-04-01 01:34,0.814
2020-04-01 01:35,0.817
2020-04-01 01:36,0.816
2020-04-01 01:37,0.817
2020-04-01 01:38,0.814
2020-04-01 01:39,0.815
2020-04-01 01:40,0.820
2020-04-01 01:41,0.821
2020-04-01 01:42,0.822
2020-04-01 01:43,0.821
2020-04-01 01:44,0.823
2020-04-01 01:45,0.824
2020-04-01 01:46,0.827
2020-04-01 01:47,0.827
2020-04-01 01:48,0.828
2020-04-01 01:49,0.828
2020-04-01 01:50,0.829
2020-04-01 01:51,0.833
2020-04-01 01:52,0.840
2020-04-01 01:53,0.842
2020-04-01 01:54,0.839
2020-04-01 01:55,0.842
2020-04-01 01:56,0.845
2020-04-01 01:57,0.849
2020-04-01 01:58,0.851
2020-04-01 01:59,0.852
2020-04-01 02:00,0.852
2020-04-01 02:01,0.855
2020-04-01 02:02,0.856
2020-04-01 02:03,0.858
2020-04-01 02:04,0.860
2020-04-01 02:05,0.859
2020-04-01 02:06,0.859
2020-04-01 02:07,0.861
2020-04-01 02:08,0.862
2020-04-01 02:09,0.864
2020-04-01 02:10,0.863
2020-04-01 02:11,0.865
2020-04-01 02:12,0.868
2020-04-01 02:13,0.870
2020-04-01 02:14,0.870
2020-04-01 02:15,0.871
2020-04-01 02:16,0.873
2020-04-01 02:17,0.876
2020-04-01 02:18,0.878
2020-04-01 02:19,0.882
2020-04-01 02:20,0.884
2020-04-01 02:21,0.888
2020-04-01 02:22,0.891
2020-04-01 02:23,0.893
2020-04-01 02:24,0.896
2020-04-01 02:25,0.897
2020-04-01 02:26,0.900
2020-04-01 02:27,0.903
2020-04-01 02:28,0.905
2020-04-01 02:29,0.906
2020-04-01 02:30,0.909
2020-04-01 02:31,0.912
2020-04-01 02:32,0.914
2020-04-01 02:33,0.918
2020-04-01 02:34,0.920
2020-04-01 02:35,0.921
2020-04-01 02:36,0.922
2020-04-01 02:37,0.925
2020-04-01 02:38,0.928
2020-04-01 02:39,0.931
2020-04-01 02:40,0.933
2020-04-01 02:41,0.934
2020-04-01 02:42,0.936
2020-04-01 02:43,0.938
2020-04-01 02:44,0.941
2020-04-01 02:45,0.941
2020-04-01 02:46,0.943
2020-04-01 02:47,0.943
2020-04-01 02:48,0.942
2020-04-01 02:49,0.942
2020-04-01 02:50,0.943
2020-04-01 02:51,0.943
2020-04-01 02:52,0.943
2020-04-01 02:53,0.944
2020-04-01 02:54,0.945
2020-04-01 02:55,0.947
2020-04-01 02:56,0.946
2020-04-01 02:57,0.947
2020-04-01 02:58,0.948
2020-04-01 02:59,0.951
2020-04-01 03:00,0.953
2020-04-01 03:01,0.953
2020-04-01 03:02,0.958
2020-04-01 03:03,0.962
2020-04-01 03:04,0.967
2020-04-01 03:05,0.971
2020-04-01 03:06,0.972
2020-04-01 03:07,0.975
2020-04-01 03:08,0.979
2020-04-01 03:09,0.984
